Name,Year,Runtime,Rating,Gross,Director
The Godfather,1972,175 ,9.2,$134.97M,Francis Ford Coppola
The Shawshank Redemption,1994,142 ,9.3,$28.34M,Frank Darabont
Interstellar,2014,169 ,8.6,$188.02M,Christopher Nolan
Pulp Fiction,1994,154 ,8.9,$107.93M,Quentin Tarantino
Guardians of the Galaxy,2014,121 ,8.0,$333.18M,James Gunn
Harry Potter and the Sorcerer's Stone,2001,152 ,7.6,$317.58M,Chris Columbus
Blade Runner 2049,2017,164 ,8.0,$92.05M,Denis Villeneuve
The Dark Knight,2008,152 ,9.0,$534.86M,Christopher Nolan
The Wolf of Wall Street,2013,180 ,8.2,$116.90M,Martin Scorsese
Inception,2010,148 ,8.8,$292.58M,Christopher Nolan
Titanic,1997,194 ,7.9,$659.33M,James Cameron
Knives Out,2019,130 ,7.9,$165.36M,Rian Johnson
Evil Dead II,1987,84 ,7.7,$5.92M,Sam Raimi
Once Upon a Time in... Hollywood,2019,161 ,7.6,$142.50M,Quentin Tarantino
American Psycho,2000,102 ,7.6,$15.07M,Mary Harron
Avengers: Endgame,2019,181 ,8.4,$858.37M,Anthony Russo
The Exorcist,1973,122 ,8.1,$232.91M,William Friedkin
The Gentlemen,2019,113 ,7.8,$36.47M,Guy Ritchie
Alien,1979,117 ,8.5,$78.90M,Ridley Scott
Fight Club,1999,139 ,8.8,$37.03M,David Fincher
Whiplash,2014,106 ,8.5,$13.09M,Damien Chazelle
Avatar,2009,162 ,7.9,$760.51M,James Cameron
The Lord of the Rings: The Fellowship of the Ring,2001,178 ,8.8,$315.54M,Peter Jackson
Good Will Hunting,1997,126 ,8.3,$138.43M,Gus Van Sant
Gladiator,2000,155 ,8.5,$187.71M,Ridley Scott
Jurassic Park,1993,127 ,8.2,$402.45M,Steven Spielberg
Black Swan,2010,108 ,8.0,$106.95M,Darren Aronofsky
The Help,2011,146 ,8.1,$169.71M,Tate Taylor
Gisaengchung,2019,132 ,8.5,$53.37M,Bong Joon Ho
Back to the Future,1985,116 ,8.5,$210.61M,Robert Zemeckis
The Silence of the Lambs,1991,118 ,8.6,$130.74M,Jonathan Demme
Inglourious Basterds,2009,153 ,8.3,$120.54M,Quentin Tarantino
Prisoners,2013,153 ,8.1,$61.00M,Denis Villeneuve
Joker,I) (2019,122 ,8.4,$335.45M,Todd Phillips
Get Out,I) (2017,104 ,7.7,$176.04M,Jordan Peele
Se7en,1995,127 ,8.6,$100.13M,David Fincher
Taxi Driver,1976,114 ,8.2,$28.26M,Martin Scorsese
The Grand Budapest Hotel,2014,99 ,8.1,$59.10M,Wes Anderson
Schindler's List,1993,195 ,9.0,$96.90M,Steven Spielberg
The Matrix,1999,136 ,8.7,$171.48M,Lana Wachowski
GoodFellas,1990,145 ,8.7,$46.84M,Martin Scorsese
Ford v Ferrari,2019,152 ,8.1,$117.62M,James Mangold
Stand by Me,1986,89 ,8.1,$52.29M,Rob Reiner
Tombstone,1993,130 ,7.8,$56.51M,George P. Cosmatos
